Barkod;"Eser Adı / Kitap Adı";Yazar;"Yer Numarası (Sırt No)";ISBN/ISSN;"Raf Konumu";"Ana Kütüphane";"Raf Kontrol Notu";"Materyal Türü"
111000000367;"Kardan adam";"Nesbo, Jo";"839.82374 NES 2015";9786050930115;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000368;Yeniçeriler;"Koçu, Reşad Ekrem";"956.1015 KOÇ 2015";9786050928891;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000369;"Ben herkesle gitmem ki !";"Geisler, Dagmar";"372.412 GEİ 2017";9786058483439;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000370;"Romeo ve Julıet";"Shakespeare, William";"822.33 SHA 2011";9789944888004;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000371;Nutuk;"Atatürk, Mustafa Kemal";"956.1024 ATA 2016";9786059331395;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000372;"Bilgisayar sistemleri";"Yarman-Vural, Fatoş Tünay";"004.2 YAR 2000";9756885033;"Kataloglama Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000373;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000374;Ezidiler;"Korkmaz, Esat";"305.699 KOR 2015";9786059989015;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000375;"Zemzem’ in annesi";"Eraslan, Sibel";"813.42 ERA 2015";9786050818703;"Geçici Derme1";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000376;"Akdeniz Uygarlıkları";"Akşit, İlhan";"709 AKŞ 2007";9781234567897;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000377;"Peygamber ve güven toplumu";;"297.81 PEY 2017";9789751966865;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000378;"Kasırga ve yaban mersinleri";"Kurtuluş, Çiyil";"813.42 KUR 2017";9786059203456;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000379;"İnsan okuma sanatı";"Alpaslan, Ahmet";"158.2 ALP 2016";9786055021597;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000380;"İstanbul Hatıraları ve şehir";"Orhan Pamuk";"813.42 ORH 2007";9789750504587;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000381;Efendi;"Yalçın, Soner";"320.9561 YAL 2004";9752932037;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000382;"Hüzün kuşağı";;"818.9927103 HÜZ 2016";9786059997027;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000383;"Kimya Hatun";"Kuds, Saide";"891.5533 KUD 2013";9789944204507;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000384;"Ada sahili";"Işıkk, Fırat";"823.914 IŞI 1999";975539267;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000385;"Babanız Atatürk";"Atay, Falih Rıfkı";"923.156 ATA 1980";;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000386;"Koha testi yapıyoruz";"Avder, Ayşenur";"813.042 AVD 2020";978978978;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000387;"Koha testleri";;"818.42 TÜR 2020";978978605605222;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;"Braille Kitap"
111000000388;Olasılıksız;"Fawer, Adam";"828.3354 FAW 2007";9756006056;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000389;"7'den 70'e beyin jimnastiği - 3";"Koçak, Zübeyde";"793.73 KOÇ 2015";9786054965496;"Özel Koleksiyon";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000390;"7'den 70'e beyin jimnastiği";"Koçak, Zübeyde";"793.73 KOÇ 2015";9786054965496;"Özel Koleksiyon";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000391;"IV. Ulusal yayın kongresi";;"025.12 IV 1998";9751720710;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000392;"Poor women";"Cücenoğlu, Tuncer";"812 CÜC 1993";;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000393;"Osmanlı'dan günümüze edebiyat ve toplum";"Karpat, Kemal H.";"818.42 KAR 2011";9786051140926;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000394;"Tarama sözlüğü o-t";;"413.1 TAR 2009";"9751607566 | 9751607612";Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000395;"Tarama sözlüğü VI, U-Z";;"413 TAR 2009";9751607620;"Özel Koleksiyon";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000396;"Tarama Sözlüğü II C-D";;"413 TAR 2009";9751607582;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000397;"Tarama sözlüğü VII, ekler";;"413 TAR 2009";9751607639;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000398;"Tarama Sözlüğü IV K-N";;"413 TAR 2009";9751607600;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000399;"Tarama Sözlüğü III E-İ";;"413 TAR 2009";9751607590;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000400;Leviathan;"Westerfeld, Scott";"828.3354 WES 2010";9789944823296;"Bebek Bölümü (0-3 Yaş)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000401;"Büro yönetiminde dosyalama teknikleri ve dokümantasyon";"Yılmaz, Şule";"025 YIL 2004";9756700726;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000402;"Bilgiler kitabı";"Barloewen, Constantin Von";"180 BAR 2011";9789944989770;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000403;"Tarama sözlüğü VIII, dizin";;"413 TAR 2009";9751607647;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000404;"Dilbilim çeviribilim yazıları";;"400 DİL 2017";9786051701578;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000405;"Aile kurmak aile olmak";"Ürkmez, Mediha";"306.85 ÜRK 2004";9758867180;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000406;"İnsan ve Sırları-2-";"Hulisi Ahmed";"297 HUL 2003";9757557307;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000407;"İnsan ve Sırları-1-";"Hulisi Ahmed";"297 HUL 2003";9757557307;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000408;"Tanrı ile sohbet : alışılmadık bir diyalog 1";"Walsch, Neale Donald";"200 WAL 1998";9759452707;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000409;"Tanrı ile sohbet alışılmadık bir diyalog 3";"Walsch, Neale Donald";"291.44 WAL 2000";9759452707;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000410;"Tanrı ile Sohbet Alışılmadık Bir Diyalog 2";"Walsch, Neale Donald";"133 WAL 1998";9759452766;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000411;Pandora;"Rice, Anne";"828.3354 RİC 2007";9789758461707;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000412;Lantano;"Grange, Jean-Christophe";"843.914 GRA 2015";9786050934694;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000413;"Kataloglama için kurallar";"Sefercioğlu, Necmeddin";"025.32 SEF 2003";9751730880;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000414;Empati;"Fawer, Adam";"828.3354 FAW 2008";9789756006238;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000415;"Buhara hukuk okulu";"Bedir, Murtaza";"297.5011 BED 2014";9786054829170;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000416;Sefer;"Başekim, Murat";"813.42 BAŞ 2017";9786053757122;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000417;"Son umut";"Ertuğrul, Halit";"813.42 ERT 2010";9789752691810;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000418;Sevgi;"Tanışır, Ferzende";"813 TAN 2008";;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000419;"Eşref saat";"Rado, Şevket";"814.42 RAD 2012";9786055506247;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000420;"The Kütüphaneci";"Işık, Recep";"999.99 IŞI [t.y.]";"000111222333 / 9750211980";Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000421;"İndexleme deneme kaydı";"Baran, Recep Işık";"999.9999 BAR 2018";999888777666;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000422;"The Kütüphaneci";"Işık, Recep";"999.00 IŞI [t.y.]";"000111222333 / 9750211980";"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;"Elektronik Belge"
111000000423;"45 ten sonra ";"Yörükoğlu, Yavuz";"155.66 YÖR 2023";9786258400939;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";not;" Kitap"
111000000424;"İkinci Dünya Savaşı'nda İnönü'nün dış politikası";"Weisband, Edward";"956.082 WEİ 1974";;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";not;" Kitap"
111000000425;"İndexleme deneme kaydı";"Baran, Recep Işık";"999.9999 BAR 2018";999888777666;"Kataloglama Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000426;"Atatürk'ün anlatımıyla Kurtuluş'tan Cumhuriyet'e";"Özkan, Abdullah";"956.1 ÖZK 2015";9789752311619;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000427;"10 kasım öncesi ve sonrası atatürkün vefatı";"erinç orhan";"814.42 ERİ 2011";9786051400003;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000428;"Sarı kanarya";"Adalı, Bilgin";"813.42 ADA 2014";9789750723414;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000429;"Dönüş";"Manguel, Alberto";"823.914 MAN 2018";9786052983591;"Kataloglama Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000430;"Annemiz pasta yapacak";"Çınaroğlu, Ayla";"813.42 ÇIN 2019";9786052601815;"Kataloglama Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000431;"Sevgi okulları";"Ekiz, Alim";"398.2 EKİ 2003";9758498746;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000432;"Medeni bilgiler";"Atatürk, Mustafa Kemal";"956.102 ATA 2010";9786054425006;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000433;"Sabahattin Ali";"Bezirci, Asım";"928.9435 BEZ 1974";;"Nadir Eserler Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000434;"İkinci Dünya Savaşı'nda İnönü'nün dış politikası";"Weisband, Edward";"956.082 WEİ 1974";;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000435;"Ahlak-ı Alaiuot;ahlak ilmiuot;";"Kınalızade Ali Efendi";"170 KIN 1970";;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000436;"Çocuk ve ergen gelişimi";"Gander, Mary J.";"155.4 GAN 2010";9789755330686;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000437;Paris'te;;"372.412 PAR 2011";9786055794620;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000438;"Kayseri Basın Tarihi (1910-1960)";"Önder, Ali Rıza";"070.956 ÖND 1972";;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000439;Futbol;"Yen, Ali Sami";"796 YEN 1927";;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000440;"Felsefeye çağrı";Aristotales;"185 ARİ 2003";;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000441;"Dinsel inançlar ve düşünceler tarihi";"Eliade, Mircea";"200.9 ELİ 2009";9758240838;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000442;"Akıllı horoz";;"398.2 AKI 2009";9789759189969;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000443;"Kelebeğin rüyası";;"818.42 KEL 2009";9789756153208;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000444;"Kelebeğin rüyası";;"818.42 KEL 2009";9789756153208;"Geçici Derme1";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000445;Tutulma;"Meyer, Stephanie";"828.3354 MEY 2009";9789944821230;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000446;"Sözlü Dövüş";"Thompson, eorge J.";"158.1 THO 2008";9789944983426;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000447;Cehennem;"Brown, Dan";"828.3354 BRO 2013";9789752116832;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000448;"Mavi atlas";;"059.561 MAV 2020-";2148-5232;"Süreli Yayınlar Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;Dergiler/Seriler
111000000449;"Kimya Hatun";"Kuds, Saide";"891.5533 KUD 2013";9789944204507;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000450;"Sevgi okulları";"Ekiz, Alim";"398.2 EKİ 2003";9758498746;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000451;"Mesnevi'de aşkın düşünme metaforları";"Yıldırım, Kevser";"153.42 YIL 2013";9786056402609;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000452;"Akıllı horoz";;"398.2 AKI 2009";9789759189969;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000453;"Anamın Masalları";"Caferzade, Azize";"813 CAF 1990";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000454;"Yaralı at";"Dizdar, Zerrin";"372.412 DİZ 2005";9944345725;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000455;"Peri masalları";;"398 PER 1928";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000456;"Siyasi tarih";"Eyicil, Ahmet";"940 EYİ 1991";;"Geçici Derme4 (Kurumlar)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000457;"Türk medeniyeti tarihi";"Gökalp, Ziya";"301.2 GÖK 1974";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000458;"Resim II süsleme resmi ve süsleme sanatları tarihi";;"750 RES 1986";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000459;"Türk İnkilabı Tarihi";"Bayur, Yusuf Hikmet";"956.0743 BAY 1952";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000460;"Osmanlı tarihi";"Karal, Enver Ziya";"956.1015 KAR 2007";"97516001896 | 9751600103";"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000461;"Türk edebiyatı tarihi 4";;"819 TÜR 2007";"9789751732927 | 97897517329654";"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000462;"Yavuz Sultan Selim Çaldıran' da";"Efe, Ahmet";"813 EFE 2006";9753381417;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000463;"Türkiye ekonomisinin elli yılı (seminer tebliğleri)";;"330.956 TÜR 1973";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000464;"Türkiye ekonomisinin yapısal meseleleri ve bir çözüm modeli";"Güçeri, Şİnasi";"330.9561 GÜÇ 1993";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000465;"Cumhuriyetin 50. Yılında Türkiye'nin sosyal ve ekonomik sorunları semineri 22-25 Ekim 1974";;"309.156 CUM 1974";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000466;"Ekonomi, Yapılaşma ve İnsan Boyutlarıyla Düzce 1999-2009";"Çakar, Nigar Demircan";"363.3495 ÇAK 2009";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000467;"Ekonomik Dayanağımız Turizm";"Çoruh, Selahattin";"711.557 ÇOR 1962";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000468;"Coğrafya sözlüğü";"Öngör, Sami";"910.3 ÖNG 1961";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000469;"Topkapı Sarayı Müzesi Arşivindeki altın ordu, kırım ve türkistan hanlarına ait yarlık ve bitikler";"Kurat, Akdes Nimet";"736.2 KUR 1940";;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000470;"Gelecek daha güzel günler mi getirecek?";;"116 GEL 2017";9786054729982;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000471;"Çağdaş Mesnevinin Peşinde";"Tunç, Gökhan";"818.4209 TUN 2011";9789759000257;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000472;"Sevmek karanfil ve kiraz";"Akın, Hüseyin";"811.42 AKI 2014";9789757737537;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000473;Empati;"Fawer, Adam";"828.354 FAW 2012";9789756006238;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000474;"Bilgi çağında arşivsel bilgi analizi";"Özdemirci, Fahrettin";"025.3 ÖZD 2015";9786056100925;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000475;Ana;"Gorki, Maksim";"891.73 GOR 2005";9758957961;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000476;"Mesalihu'l ebdan ve'l-enfüs";"Ebu Zeyd El-Belhi";"610.9 EBU 2012";9789751736650;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000477;"Büro yönetiminde dosyalama teknikleri ve dokümantasyon";"Yılmaz, Şule";"651.5 YIL 2004";97567700726;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000478;"İslami Türk edebiyatı";"Pekolcay, Necla";"819.21 PEK 2002";97573221788;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000479;"Sosyal demokrasi el kitabı 2";;"330.9 SOS 2014";9783958610361;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000480;"Edebiyat ve sinema";;"791.4309561 EDE 2011";9786056231308;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000481;Psikodrama;"Moreno, J. L.";"616.891523 MOR 2017";9786058246416;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000482;"Mevlid Şerhi";"Vassaf, Hüseyin";"297.871 VAS 2006";9759950251;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000483;"Kız, kar ve kan";"London, Jack";"828.3 LON T.Y";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000484;"Yazdığı ve yazdırdığı fikirleriyle Atatürk";"Apatay, Çetinkaya";"320.5409561 APA 1997";9753761228;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000485;"Şahane hatalar";"Ruckdeschel, Liz";"828.3354 RUC 2014";9786055162177;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000486;"Dilbilim çeviribilim yazıları";;"400 DİL 2017";9786051701578;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000487;"Yüzüncü yılında Çanakkale";;"956.101543 YÜZ 2016";9786056581878;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000488;Hükümdar;"Çevik, Mustafa";"813.42 ÇEV 2015";9786055147235;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000489;"Gizli İkna Taktikleri";"Hogan, Kevin";"153.852 HOG 2009";9786053840978;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000490;"Tarihçi Mustafa Ali";"Fleischer, H. Cornell";"928.97335 FLE 1996";9753330553;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000491;"Karanlık yılbaşı öyküleri-aralıktan sızan karanlık";;"813.42 KAR 2017";9789752207332;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000492;"Deli Dumrul";"Dede Korkut";"398.21 DED 2010";9786054189069;"Yabancı Diller Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000493;"Osmanlıdan günümüze edebiyat ve toplum";"Kemal H.Karpat";"810 KEM 2009";9786051140926;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000494;"Ahmet Hamdi Tanpınar'ın eserlerinde resim";"Özcan, Nezahat";"818.42 ÖZC 2012";9789751625076;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000495;"Turgut Uyar'ın şiirlerinde "" Ben ve Öteki""nin görüntü düzeyleri";"Şahin, Veysel";"808.1 ŞAH 2017";9786053423805;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000496;"Sensiz bu akşam";"Yılmaz, Duran";"811.42 YIL 2006";9759176483;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000497;"Endüstri ilişkileri sözlüğü 1";"Önsal, Naci";"603 ÖNS 2011";9786058758742;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000498;"Ankara’da yayımlanan süreli yayınlar kaynakçası";"Yılmaz, Bülent";"015.56511 YIL 2016";9786059388047;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000499;Mi'yaru'l-ilm;"Ebu Hamid El-Gazzali";"181.07 EBU 2013";9789751736895;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000500;"Roland Barthes";"Barthes, Roland";"848.803 BAR 2006";9753637454;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000501;"Yunus Divanı";"Açıkgöz, Mehmet";"819.11 AÇI 19??";;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000502;"Şerhu'l Usuli'l-Hamse";;"297.6 ŞER 2013";"9789751736734 | 9789751736710";"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000503;"Türkçenin grameri";"Tahsin Banguoğlu";"410 TAH 2000";9751602688;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000504;"İktisada giriş";;"956.091 İKT 1985";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000505;"Kazdağı şairleri 1";;"811.42 KAZ [2015?]";9786059932639;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000506;"Kısas-ı enbiya";"Hindi Mahmud";"297.971 HİN 2013";9789751737045;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000507;"Ormancılık işletme iktisadı";"Fırat, Fehim";"634 FIR 1967";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000508;"Tarihi değiştiren kadınlar";"Çimen, Ali";"920.72 ÇİM 2012";9789752637559;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000509;Kaos;"Sardar, Ziauddin";"530 SAR 2010";9786055813895;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000510;"Bedeli ödenen günahlar";"Baldaccı, David";"828.3354 BAL 2012";9786053480068;"Geçici Derme3";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000511;Paris'te;;"372.412 PAR 2011";9786055794620;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000512;"Lale devri’nde Amasya";;"956.322 LAL 2014";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000513;"Beşibiryerde";"Çoban, Seyfettin";"811 ÇOB 1991";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000514;Ladesçi;"Dökmen, Üstün";"813.42 DÖK 2012";9789751413765;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000515;"Tavukların dünyası";"Vural, Ahmet";"372.357 VUR 2009";9789756195918;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000516;"Sherlock Holmes şüphe asla uyumaz";"Doyle, Arthur Conan";"823.912 DOY 2013";9786053480129;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
